route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
373,1,31330,SEKAPARK,13:40,0,,911,0,0
373,1,31331,SEKAPARK,13:50,0,,911,0,0
373,1,31332,SEKAPARK,14:00,0,,911,0,0
373,1,31333,SEKAPARK,14:10,0,,911,0,0
373,1,31334,SEKAPARK,14:20,0,,911,0,0
373,1,31335,SEKAPARK,14:30,0,,911,0,0
373,1,31336,SEKAPARK,14:40,0,,911,0,0
373,1,31337,SEKAPARK,14:50,0,,911,0,0
373,1,31338,SEKAPARK,15:00,0,,911,0,0
373,1,31339,SEKAPARK,15:07,0,,911,0,0
373,1,31340,SEKAPARK,15:15,0,,911,0,0
373,1,31341,SEKAPARK,15:22,0,,911,0,0
373,1,31342,SEKAPARK,15:30,0,,911,0,0
373,1,31343,SEKAPARK,15:37,0,,911,0,0
373,1,31344,SEKAPARK,15:45,0,,911,0,0
373,1,31345,SEKAPARK,15:52,0,,911,0,0
373,1,31346,SEKAPARK,16:00,0,,911,0,0
373,1,31347,SEKAPARK,16:06,0,,911,0,0
373,1,31348,SEKAPARK,16:12,0,,911,0,0
373,1,31349,SEKAPARK,16:18,0,,911,0,0
373,1,31350,SEKAPARK,16:24,0,,911,0,0
373,1,31351,SEKAPARK,16:30,0,,911,0,0
373,1,31352,SEKAPARK,16:36,0,,911,0,0
373,1,31353,SEKAPARK,16:42,0,,911,0,0
373,1,31354,SEKAPARK,16:48,0,,911,0,0
373,1,31355,SEKAPARK,16:54,0,,911,0,0
373,1,31356,SEKAPARK,17:00,0,,911,0,0
373,1,31357,SEKAPARK,17:06,0,,911,0,0
373,1,31358,SEKAPARK,17:12,0,,911,0,0
373,1,31359,SEKAPARK,17:18,0,,911,0,0
373,1,31360,SEKAPARK,17:24,0,,911,0,0
373,1,31361,SEKAPARK,17:30,0,,911,0,0
373,1,31362,SEKAPARK,17:37,0,,911,0,0
373,1,31363,SEKAPARK,17:45,0,,911,0,0
373,1,31364,SEKAPARK,17:52,0,,911,0,0
373,1,31365,SEKAPARK,18:00,0,,911,0,0
373,1,31366,SEKAPARK,18:07,0,,911,0,0
373,1,31367,SEKAPARK,18:15,0,,911,0,0
373,1,31368,SEKAPARK,18:22,0,,911,0,0
373,1,31369,SEKAPARK,18:30,0,,911,0,0
373,1,31370,SEKAPARK,18:37,0,,911,0,0
373,1,31371,SEKAPARK,18:45,0,,911,0,0
373,1,31372,SEKAPARK,18:52,0,,911,0,0
373,1,31373,SEKAPARK,19:00,0,,911,0,0
373,1,31374,SEKAPARK,19:07,0,,911,0,0
373,1,31375,SEKAPARK,19:15,0,,911,0,0
373,1,31376,SEKAPARK,19:22,0,,911,0,0
373,1,31377,SEKAPARK,19:30,0,,911,0,0
373,1,31378,SEKAPARK,19:37,0,,911,0,0
373,1,31379,SEKAPARK,19:45,0,,911,0,0
373,1,31380,SEKAPARK,19:52,0,,911,0,0
373,1,31381,SEKAPARK,20:00,0,,911,0,0
373,1,31382,SEKAPARK,20:10,0,,911,0,0
373,1,31383,SEKAPARK,20:20,0,,911,0,0
373,1,31384,SEKAPARK,20:30,0,,911,0,0
373,1,31385,SEKAPARK,20:40,0,,911,0,0
373,1,31386,SEKAPARK,20:50,0,,911,0,0
373,1,31387,SEKAPARK,21:00,0,,911,0,0
